unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
18,1.6285714285714286,9,21,0,0,0,2,0,0,6,0,1,4,13,0,5,6,4,5,2,8,0,1,0,52.62563626822476,51.18
19,1.57,12,18,0,0,0,4,0,0,1,0,1,0,19,8,7,5,1,1,0,8,0,1,0,47.54900452849717,50.96
19,1.4761904761904763,4,26,0,0,0,2,0,0,3,0,1,2,12,2,6,7,4,2,0,9,3,1,0,53.19629615626802,50.91
18,1.6020408163265305,10,19,1,0,0,4,0,0,1,0,1,2,19,2,4,2,4,3,5,10,0,1,0,51.94663341267296,50.85
19,1.4848484848484849,4,26,0,0,0,2,0,0,5,0,1,5,18,2,6,6,4,1,2,9,7,1,0,54.813129527029226,50.79
19,1.5916666666666666,6,24,0,0,0,2,0,0,6,0,2,4,12,0,8,5,4,3,1,9,0,1,0,54.74477746132261,50.72
19,1.7346938775510203,19,11,0,0,0,0,0,0,2,0,1,0,21,2,6,7,3,3,2,7,0,1,0,47.96769111569583,50.72
20,1.627659574468085,5,24,1,0,0,5,0,0,2,0,1,5,15,4,0,11,0,7,0,8,32,1,0,50.90324048584507,50.69
19,1.5772357723577235,6,24,0,0,0,2,0,0,6,0,2,4,12,0,8,4,4,3,2,9,0,1,0,55.120986286904355,50.63
19,1.619718309859155,16,14,0,0,0,2,0,0,2,0,1,0,19,3,10,6,2,1,2,6,0,1,0,48.60599306399108,50.58
19,1.65625,5,24,1,0,0,7,0,0,1,0,0,4,15,4,0,12,0,5,0,9,32,0,0,51.611721609103036,50.54
18,1.6260162601626016,4,26,0,0,0,2,0,0,6,0,1,4,11,2,9,4,4,4,0,7,1,1,0,54.51265029223491,50.53
18,1.7065217391304348,10,19,1,0,0,4,0,0,1,0,1,2,18,2,4,3,4,3,5,9,0,1,0,51.72349135925958,50.35
17,1.7619047619047619,15,15,0,0,0,2,0,0,0,0,0,4,25,9,11,5,4,0,0,1,0,0,0,43.89600928853291,50.34
